x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,yvliang
1.902,-0.25,-0.844,-3.653,1.089,-3.653,4.259,-0.772,-0.886,-3.839,4.208,-8.336,16.4
1.903,-0.259,-0.846,-3.657,1.08,-3.657,4.254,-0.949,-0.883,-3.844,4.213,-8.337,16.4
1.9,-0.258,-0.849,-3.656,1.079,-3.656,4.264,-0.758,-0.883,-3.838,4.218,-8.341,11.4
1.899,-0.249,-0.845,-3.663,1.084,-3.663,4.272,-0.819,-0.875,-3.838,4.209,-8.342,10
1.911,-0.256,-0.851,-3.661,1.082,-3.661,4.263,-0.831,-0.89,-3.847,4.218,-8.351,9.8
1.898,-0.233,-0.852,-3.677,1.079,-3.677,4.26,-0.966,-0.884,-3.831,4.218,-8.321,9.8
1.901,-0.236,-0.848,-3.671,1.08,-3.671,4.262,-0.76,-0.884,-3.833,4.22,-8.334,9.6
1.898,-0.259,-0.852,-3.667,1.083,-3.667,4.263,-0.899,-0.882,-3.841,4.219,-8.344,9.4
1.903,-0.262,-0.852,-3.65,1.08,-3.65,4.265,-0.801,-0.889,-3.831,4.221,-8.336,9.4
1.903,-0.262,-0.849,-3.652,1.085,-3.652,4.258,-0.931,-0.889,-3.852,4.227,-8.345,8.4
1.903,-0.263,-0.844,-3.662,1.082,-3.662,4.281,-0.578,-0.887,-3.845,4.216,-8.341,7.8
1.896,-0.266,-0.849,-3.661,1.088,-3.661,4.267,-0.706,-0.878,-3.832,4.213,-8.335,4.6
1.891,-0.267,-0.84,-3.657,1.083,-3.657,4.257,-0.792,-0.883,-3.832,4.218,-8.343,3.4
1.899,-0.266,-0.845,-3.654,1.086,-3.654,4.262,-0.849,-0.887,-3.833,4.217,-8.339,7
1.904,-0.262,-0.841,-3.655,1.086,-3.655,4.266,-0.705,-0.886,-3.84,4.219,-8.346,7
1.902,-0.269,-0.842,-3.656,1.091,-3.656,4.269,-0.811,-0.888,-3.853,4.221,-8.352,7
1.901,-0.262,-0.836,-3.655,1.084,-3.655,4.276,-0.574,-0.892,-3.855,4.217,-8.336,7
1.904,-0.267,-0.836,-3.655,1.09,-3.655,4.27,-0.735,-0.891,-3.846,4.213,-8.346,7
1.9,-0.276,-0.829,-3.655,1.084,-3.655,4.267,-0.64,-0.886,-3.845,4.216,-8.342,7
1.896,-0.271,-0.829,-3.65,1.093,-3.65,4.266,-0.681,-0.88,-3.843,4.211,-8.343,7
1.912,-0.278,-0.828,-3.658,1.086,-3.658,4.269,-0.785,-0.892,-3.847,4.214,-8.346,7
1.902,-0.273,-0.826,-3.655,1.092,-3.655,4.258,-0.826,-0.88,-3.84,4.205,-8.337,7
1.904,-0.279,-0.833,-3.656,1.092,-3.656,4.263,-0.849,-0.885,-3.859,4.206,-8.34,7
1.897,-0.268,-0.836,-3.669,1.091,-3.669,4.261,-0.815,-0.889,-3.838,4.22,-8.342,7
1.899,-0.271,-0.844,-3.658,1.092,-3.658,4.267,-0.703,-0.882,-3.833,4.199,-8.336,7
1.897,-0.26,-0.842,-3.662,1.087,-3.662,4.264,-0.922,-0.898,-3.843,4.214,-8.324,7
1.902,-0.263,-0.845,-3.673,1.075,-3.673,4.27,-0.802,-0.888,-3.827,4.218,-8.347,7
1.901,-0.261,-0.844,-3.676,1.085,-3.676,4.278,-0.683,-0.88,-3.846,4.22,-8.336,7
1.9,-0.258,-0.841,-3.678,1.085,-3.678,4.267,-0.82,-0.887,-3.842,4.214,-8.344,7
1.902,-0.267,-0.845,-3.666,1.08,-3.666,4.266,-0.849,-0.885,-3.848,4.216,-8.351,7
1.906,-0.27,-0.85,-3.665,1.084,-3.665,4.283,-0.628,-0.883,-3.838,4.219,-8.332,6.6
1.902,-0.265,-0.85,-3.664,1.094,-3.664,4.268,-0.711,-0.892,-3.837,4.214,-8.34,6.6
1.9,-0.264,-0.845,-3.66,1.089,-3.66,4.27,-0.709,-0.879,-3.836,4.213,-8.351,6.4
1.905,-0.261,-0.843,-3.665,1.084,-3.665,4.268,-0.879,-0.891,-3.845,4.225,-8.352,4.6
1.892,-0.271,-0.836,-3.667,1.088,-3.667,4.271,-0.89,-0.879,-3.853,4.225,-8.351,0.6
1.903,-0.265,-0.846,-3.656,1.091,-3.656,4.274,-0.794,-0.875,-3.853,4.225,-8.347,0
1.903,-0.269,-0.836,-3.666,1.084,-3.666,4.262,-0.821,-0.876,-3.858,4.221,-8.351,0
1.897,-0.267,-0.832,-3.662,1.078,-3.662,4.274,-0.724,-0.886,-3.855,4.217,-8.352,0
1.895,-0.267,-0.835,-3.66,1.08,-3.66,4.271,-0.654,-0.884,-3.841,4.233,-8.346,0
1.904,-0.268,-0.834,-3.662,1.086,-3.662,4.27,-0.623,-0.887,-3.856,4.225,-8.345,0
1.902,-0.27,-0.83,-3.667,1.091,-3.667,4.264,-0.667,-0.889,-3.855,4.22,-8.357,0
1.907,-0.275,-0.836,-3.659,1.083,-3.659,4.273,-0.579,-0.886,-3.864,4.225,-8.343,0
1.9,-0.282,-0.825,-3.673,1.08,-3.673,4.265,-0.71,-0.885,-3.855,4.214,-8.356,0
1.904,-0.269,-0.822,-3.669,1.083,-3.669,4.261,-0.723,-0.884,-3.852,4.199,-8.356,0
1.906,-0.28,-0.822,-3.672,1.087,-3.672,4.255,-0.957,-0.876,-3.853,4.215,-8.339,0
1.897,-0.276,-0.828,-3.679,1.087,-3.679,4.257,-0.952,-0.887,-3.858,4.216,-8.333,0
1.903,-0.28,-0.828,-3.68,1.085,-3.68,4.261,-0.718,-0.885,-3.849,4.212,-8.339,0
1.906,-0.283,-0.848,-3.674,1.086,-3.674,4.268,-0.669,-0.878,-3.841,4.212,-8.346,0
1.902,-0.276,-0.845,-3.687,1.076,-3.687,4.265,-0.659,-0.876,-3.847,4.212,-8.352,0
1.896,-0.274,-0.838,-3.681,1.08,-3.681,4.273,-0.738,-0.887,-3.843,4.218,-8.341,0
1.895,-0.27,-0.84,-3.668,1.078,-3.668,4.271,-0.749,-0.886,-3.858,4.213,-8.35,0
1.894,-0.274,-0.839,-3.679,1.077,-3.679,4.28,-0.695,-0.884,-3.855,4.221,-8.349,0
1.896,-0.266,-0.836,-3.677,1.078,-3.677,4.277,-0.703,-0.885,-3.847,4.222,-8.349,0
1.9,-0.263,-0.843,-3.675,1.079,-3.675,4.274,-0.768,-0.88,-3.857,4.219,-8.356,0
1.903,-0.262,-0.842,-3.686,1.077,-3.686,4.275,-0.726,-0.873,-3.846,4.223,-8.351,0
1.901,-0.264,-0.85,-3.676,1.072,-3.676,4.264,-0.792,-0.88,-3.852,4.222,-8.352,0
1.902,-0.242,-0.84,-3.678,1.074,-3.678,4.273,-0.995,-0.881,-3.845,4.217,-8.349,0
1.903,-0.232,-0.844,-3.679,1.071,-3.679,4.273,-0.703,-0.887,-3.847,4.22,-8.344,0
1.906,-0.218,-0.838,-3.685,1.069,-3.685,4.256,-1.16,-0.885,-3.853,4.213,-8.349,0
1.905,-0.23,-0.85,-3.693,1.084,-3.693,4.259,-1.216,-0.891,-3.842,4.231,-8.35,0
1.906,-0.249,-0.84,-3.695,1.093,-3.695,4.3,-0.604,-0.893,-3.841,4.221,-8.354,0
1.901,-0.265,-0.841,-3.682,1.094,-3.682,4.322,-0.513,-0.881,-3.861,4.228,-8.352,27
1.9,-0.292,-0.833,-3.694,1.108,-3.694,4.352,-0.236,-0.884,-3.854,4.241,-8.353,27
1.903,-0.298,-0.836,-3.695,1.098,-3.695,4.307,-0.36,-0.88,-3.856,4.229,-8.365,24.8
1.906,-0.293,-0.823,-3.677,1.088,-3.677,4.295,-0.465,-0.874,-3.86,4.223,-8.357,17.8
1.903,-0.296,-0.824,-3.669,1.098,-3.669,4.298,-0.625,-0.891,-3.839,4.216,-8.365,9
1.901,-0.301,-0.822,-3.68,1.094,-3.68,4.286,-0.841,-0.886,-3.847,4.216,-8.366,0
1.904,-0.287,-0.819,-3.677,1.089,-3.677,4.287,-0.772,-0.885,-3.851,4.214,-8.36,0
1.896,-0.295,-0.819,-3.694,1.096,-3.694,4.29,-0.712,-0.891,-3.86,4.216,-8.366,0
1.9,-0.292,-0.816,-3.666,1.097,-3.666,4.294,-0.697,-0.88,-3.848,4.21,-8.351,0
